HolderAddress,Balance
0xF7dcC97E4158C756345b7202025648d5aC11cdf4,5.0
0x4d22F5409d0f7eA11b23D7eF8734bA95481fA2e2,2.0
0x2E1F018276902FB09cD2503fa5B74A0D4d8B55cB,2.0
0xfF99Bc9C53D7025F9d3e5a87d55353eE0B7d2a03,1.0
0xF471F0008BaC2c08c53919428B2A541a32C36eab,1.0
0xF0eb48f33Bb174D6d17655574231a6a3acd4DD6F,1.0
0xe9F30bEAb4059cD1D130D700688344381bc92F26,1.0
0xE6Dfd72f53C3415a7329B519Ec5467d321b9d554,1.0
0xe408f4f7590C026a5Cc27F5c65087f502e458A23,1.0
0xdd6477C387708EcE5a43A643fC8d76488C55c6D7,1.0
0xd32820e093Df01D8C2643b6a5B187B8c2b8644bC,1.0
0xD2071c9994F498947330357ccCF00C97881F78E0,1.0
0xc7eCaaEf4090893036a9Da8Abd3cA5b68fE13948,1.0
0xBfCdC2f21dfD9Ac76beb1f986E156ee73c93f889,1.0
0xBeB6f0A258990723cCE56092673c4d007F37c30f,1.0
0xbc67cFFfaDdD07bCbb784369994496d130ba7956,1.0
0xBaD941fb6C539643043854cE8e6320682A99f5E3,1.0
0xB5Deb2AB829322DE5c9C2DD4B837a444202372f0,1.0
0xB1CC956A6c6D5B2A695440f2488e80dDCF227d78,1.0
0xA1f13Ec89cFCE33b68bb920F1af8717ca7cd34Ac,1.0
0x9f270ecBb2F1291b5F85E4Bd896e69d66CF4092E,1.0
0x9ef27fAE9ff3B973Ac32e3adD624050C58C4F557,1.0
0x98Fe5d1E17480EED1d51960a403D59e8828c5dC5,1.0
0x956900132b5EE2282AA65ce4Fa2120Ea533Dc6c9,1.0
0x939e38f9D88A535b7851582672212c7BFfF63742,1.0
0x90e59896C405996416b3AA114e07fe47e5641181,1.0
0x8e85c14381923265eBfE17D19a3EC29708363202,1.0
0x8b6d1F709FCF62BF5c3Fa288B1194CD945F9b1Eb,1.0
0x83D96020B0766f567AFd2e19b5F62ef6Dd4026D5,1.0
0x728157BDED1e13b03CDEacE8183751b5A476361a,1.0
0x71a95D1B2583D90cD1f0301C41117ae2122F89Bd,1.0
0x6e4Cd10D2E42613e5d564E6341AC7F523c0E7C93,1.0
0x6c6967a17d6Ee254A7CfE8A9109391272e0Dcca0,1.0
0x6C492C42393e1561d690e0453Ccb94F15DEf587D,1.0
0x640f37e18B32712D5463b1b93bDC671446019581,1.0
0x61E3CEF3Bc04e141EA2a03a62CD9293D16c82344,1.0
0x607C77EAdB523bbDd3249B87697626fa18aB0cac,1.0
0x5eCc668e8a96e4b4cdC99410B48822DEE8c09fa1,1.0
0x5B3292503B9030060146b4f06a536da9BbbC28b0,1.0
0x4E294e969a2c63A4d6dD30c17e88e77c33886Ce2,1.0
0x406e53E6b96fd072be36FA625229b83A31670d59,1.0
0x3A425268663003C3f23c70Ea9cE5730F3eF60F29,1.0
0x39f4DA389fEF57165BD470Eb422c755e271F785B,1.0
0x3586543C31f1C77Ee3140FD8BD2184CAaBb660a3,1.0
0x3462ff5e096E30f69A5B1e9E3C6A3107E8bF2309,1.0
0x315963E514d6c7d86538607919D02B76b053Df64,1.0
0x2f024B3EcCfE52150E55A147Ff4b3fC8640871B5,1.0
0x2e6Ef714225Ae97647305fE6E3D23AdEBF95161f,1.0
0x0cB6C036B411B30a04424a35aa3Ab83602AB4633,1.0
0x0a9fD20fc663CC9afA28699959965a2A2dc5aaE3,1.0
0x0a242da994EBBcbE1e8673616a1B35D884c78133,1.0
0x048a0F98A58Fe4db9aC4c49610783537AD2E3495,1.0
